protocol,client_id,client_count,payload_bytes,request_num,connect_time_ms,rtt_ms,timestamp
tcp,0,10,512,0,0.8919,0.8767,1772314956.021981
tcp,0,10,512,1,0.8919,0.303,1772314956.0222876
tcp,0,10,512,2,0.8919,0.3226,1772314956.0226128
tcp,0,10,512,3,0.8919,0.4009,1772314956.0230157
tcp,0,10,512,4,0.8919,0.3316,1772314956.0233493
tcp,0,10,512,5,0.8919,0.2886,1772314956.0236402
tcp,0,10,512,6,0.8919,0.2544,1772314956.0238967
tcp,0,10,512,7,0.8919,0.258,1772314956.0241587
tcp,0,10,512,8,0.8919,0.3766,1772314956.0245395
tcp,0,10,512,9,0.8919,0.4228,1772314956.0249655
tcp,0,10,512,10,0.8919,0.5312,1772314956.0254996
tcp,0,10,512,11,0.8919,0.2041,1772314956.0257058
tcp,0,10,512,12,0.8919,0.2567,1772314956.0259643
tcp,0,10,512,13,0.8919,0.2929,1772314956.0262594
tcp,0,10,512,14,0.8919,0.2273,1772314956.0264888
tcp,0,10,512,15,0.8919,0.2075,1772314956.0266984
tcp,0,10,512,16,0.8919,0.2145,1772314956.0269148
tcp,0,10,512,17,0.8919,0.2072,1772314956.0271242
tcp,0,10,512,18,0.8919,0.2872,1772314956.0274136
tcp,0,10,512,19,0.8919,0.2851,1772314956.0277007
tcp,0,10,512,20,0.8919,0.2645,1772314956.027967
tcp,0,10,512,21,0.8919,0.1916,1772314956.0281606
tcp,0,10,512,22,0.8919,0.182,1772314956.0283446
tcp,0,10,512,23,0.8919,0.1903,1772314956.0285368
tcp,0,10,512,24,0.8919,0.2365,1772314956.0287755
tcp,0,10,512,25,0.8919,0.3885,1772314956.029166
tcp,0,10,512,26,0.8919,0.3961,1772314956.0295641
tcp,0,10,512,27,0.8919,0.4434,1772314956.0300095
tcp,0,10,512,28,0.8919,0.2652,1772314956.0302768
tcp,0,10,512,29,0.8919,0.1801,1772314956.030459
tcp,0,10,512,30,0.8919,0.2546,1772314956.0307155
tcp,0,10,512,31,0.8919,0.2638,1772314956.0309813
tcp,0,10,512,32,0.8919,0.2298,1772314956.0312133
tcp,0,10,512,33,0.8919,0.2488,1772314956.031464
tcp,0,10,512,34,0.8919,0.1698,1772314956.031636
tcp,0,10,512,35,0.8919,0.3062,1772314956.0319443
tcp,0,10,512,36,0.8919,0.258,1772314956.0322044
tcp,0,10,512,37,0.8919,0.178,1772314956.032384
tcp,0,10,512,38,0.8919,0.3472,1772314956.032733
tcp,0,10,512,39,0.8919,0.1921,1772314956.0329268
tcp,0,10,512,40,0.8919,0.313,1772314956.0332415
tcp,0,10,512,41,0.8919,0.2825,1772314956.033526
tcp,0,10,512,42,0.8919,0.2065,1772314956.033734
tcp,0,10,512,43,0.8919,0.313,1772314956.0340488
tcp,0,10,512,44,0.8919,0.3962,1772314956.0344465
tcp,0,10,512,45,0.8919,0.3681,1772314956.0348163
tcp,0,10,512,46,0.8919,0.2462,1772314956.0350645
tcp,0,10,512,47,0.8919,0.324,1772314956.0353904
tcp,0,10,512,48,0.8919,0.3193,1772314956.0357115
